item_name,item_id,ist_value,low_confidence,total_trades,hops,last_updated
El Rune,2946107871,0.101593,False,369,1,2025-05-20T21:10:03.869Z
Eld Rune,2316328159,0.089786,False,331,1,2025-05-21T16:47:24.984Z
Tir Rune,3128717341,0.052632,False,39,1,2025-05-20T15:36:49.678Z
Nef Rune,2850885338,0.046827,False,268,1,2025-05-20T13:49:24.165Z
Eth Rune,3656401092,0.046933,False,307,1,2025-05-22T23:29:04.497Z
Ith Rune,3461032747,0.047514,False,307,1,2025-05-21T23:50:36.256Z
Tal Rune,3120045661,0.048544,False,50,1,2025-05-20T13:47:32.764Z
Ral Rune,3826075459,0.093434,False,450,1,2025-05-22T04:24:07.736Z
Ort Rune,3481558468,0.03333,True,301,1,2025-05-21T18:57:44.240Z
Thul Rune,2667920742,0.052184,False,41,1,2025-05-20T13:44:19.379Z
Amn Rune,4237640539,0.049563,False,384,1,2025-05-22T10:22:55.107Z
Sol Rune,2289057068,0.06667,True,52,1,2025-05-21T06:28:36.273Z
Shael Rune,3835643192,0.046875,False,35,1,2025-05-19T04:23:37.086Z
Dol Rune,3683674872,0.063601,False,287,1,2025-05-20T09:32:33.112Z
Hel Rune,3157809229,0.167349,False,749,1,2025-05-22T16:30:34.765Z
Io Rune,2313512017,0.044364,False,326,1,2025-05-22T10:50:22.779Z
Lum Rune,3523099841,0.049986,False,333,1,2025-05-22T04:20:43.178Z
Ko Rune,3770490171,0.110078,False,334,1,2025-05-22T10:14:06.110Z
Fal Rune,2442002770,0.098396,False,224,1,2025-05-22T11:53:48.420Z
Lem Rune,3214752119,0.33333,True,348,1,2025-05-21T08:19:57.735Z
Pul Rune,2899268590,0.5,True,335,1,2025-05-22T01:27:30.848Z
Um Rune,2654038235,1.0,True,310,1,2025-05-22T16:15:24.451Z
Mal Rune,2401638276,0.687503,False,665,1,2025-05-22T00:10:18.967Z
Ist Rune,2290642411,1.0,False,3018,0,9999-12-31T23:59:59Z
Gul Rune,4160776515,1.2,True,285,1,2025-05-20T07:13:07.084Z
Vex Rune,3806138905,2.941202,False,332,1,2025-05-18T07:35:29.348Z
Ohm Rune,3896329590,3.375,False,753,1,2025-05-22T11:40:57.362Z
Lo Rune,3632079454,4.931493,False,1291,1,2025-05-21T14:38:38.436Z
Sur Rune,3382986705,5.190695,True,81,2,2025-05-21T12:45:19.778Z
Ber Rune,4149485449,12.805555,False,884,1,2025-05-22T15:07:47.129Z
Jah Rune,2552039455,10.38139,False,5892,1,2025-05-21T18:54:00.659Z
Cham Rune,3191411278,3.75,False,411,1,2025-05-21T13:44:35.806Z
Zod Rune,4067651730,4.444444,True,40,1,2025-05-12T11:41:17.389Z
Perfect Ruby,2490568890,0.069744,False,392,1,2025-05-22T05:39:17.426Z
Perfect Skull,4184163917,0.105263,False,366,1,2025-05-22T05:38:44.725Z
Perfect Topaz,2406623499,0.052778,False,358,1,2025-05-20T19:38:20.095Z
Perfect Emerald,3085059697,0.092702,False,351,1,2025-05-18T01:56:12.915Z
Perfect Amethyst,3828750419,0.150334,False,496,1,2025-05-22T11:49:42.701Z
Perfect Sapphire,4089870003,0.062745,False,347,1,2025-05-17T16:03:39.984Z
Perfect Diamond,2798981399,0.076923,False,56,1,2025-05-17T12:24:24.470Z
Token of Absolution,3193724423,1.5,False,689,1,2025-05-21T14:51:10.375Z
The Stone of Jordan,3471333300,2.0,True,237,1,2025-05-21T15:51:56.032Z
