Rune,Ist Price,Trade Count
Ist Rune,1.0,0
Amn Rune,0.0873,173
Ber Rune,9.7558,43
Cham Rune,3.3559,17
Dol Rune,0.0705,94
El Rune,0.0925,87
Eld Rune,0.0922,70
Eth Rune,0.0521,98
Fal Rune,0.0986,72
Gul Rune,1.4319,40
Hel Rune,0.2874,85
Io Rune,0.0582,130
Ist Rune,9.0,1
Ith Rune,0.046,122
Jah Rune,10.4064,494
Ko Rune,0.1599,84
Lem Rune,0.3489,25
Lo Rune,4.6786,70
Lum Rune,0.0765,103
Mal Rune,0.8177,127
Nef Rune,0.0521,87
Ohm Rune,3.7532,77
Ort Rune,0.053,179
Pul Rune,0.702,25
Ral Rune,0.1126,168
Sol Rune,0.0633,5
Sur Rune,5.2,5
Thul Rune,0.0585,2
Tir Rune,0.3333,1
Um Rune,0.6852,9
Vex Rune,2.1548,21
Zod Rune,4.5,1
